name,category,url,all_urls,domain,crawl_class,format,frequency,access,coverage,data_type,tags,notes
Panama Canal Authority,"Shipping, Freight, Customs, Chokepoints",https://pancanal.com/en/maritime-services/canal-statistics/,https://pancanal.com/en/maritime-services/canal-statistics/,pancanal.com,deep,"PDF, HTML",monthly + ad hoc,free,Panama Canal,numeric,"[shipping, chokepoint, panama, draft_restrictions]","Transit counts, draft restrictions; draft restrictions are real LPG/grain signal."
Suez Canal Authority,"Shipping, Freight, Customs, Chokepoints",https://www.suezcanal.gov.eg/,https://www.suezcanal.gov.eg/,suezcanal.gov.eg,deep,HTML,monthly + ad hoc,free,Suez Canal,numeric,"[shipping, chokepoint, suez]",Transit volumes and revenues; key chokepoint for crude + container.
Baltic Exchange Indices (Free Summary),"Shipping, Freight, Customs, Chokepoints",https://www.balticexchange.com/en/data-services/market-information0/indices.html,https://www.balticexchange.com/en/data-services/market-information0/indices.html,balticexchange.com,deep,HTML,daily,"mixed (headline free, full $)",Dry bulk + tanker freight,numeric,"[shipping, freight, drybulk, tankers]","BDI, BCI, BPI, BSI, BHSI, BDTI, BCTI."
Drewry World Container Index,"Shipping, Freight, Customs, Chokepoints",https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,drewry.co.uk,deep,HTML,weekly (Thu),free (headline),Container freight,numeric,"[shipping, freight, containers]",40ft container spot rates on major lanes.
Freightos Baltic Index (FBX),"Shipping, Freight, Customs, Chokepoints",https://fbx.freightos.com/,https://fbx.freightos.com/,fbx.freightos.com,deep,"HTML, API",daily,free (headline),Container freight,numeric,"[shipping, freight, containers]",Daily container spot rates.
MarineTraffic,"Shipping, Freight, Customs, Chokepoints",https://www.marinetraffic.com/,https://www.marinetraffic.com/,marinetraffic.com,deep,"HTML, API ($)",real-time,mixed,Global AIS,numeric,"[shipping, ais, vessel_tracking]","Free vessel tracking, paid for bulk AIS history."
VesselFinder,"Shipping, Freight, Customs, Chokepoints",https://www.vesselfinder.com/,https://www.vesselfinder.com/,vesselfinder.com,deep,"HTML, API ($)",real-time,mixed,Global AIS,numeric,"[shipping, ais, vessel_tracking]",Alternative AIS provider.
Copernicus Data Space Ecosystem (Sentinel-1/2/3/5P),Satellite / Earth Observation (Free),https://dataspace.copernicus.eu/,https://dataspace.copernicus.eu/,dataspace.copernicus.eu,skip_binary,"GeoTIFF, NetCDF, API (STAC)",~daily revisit,free (registration),Global,imagery,"[satellite, remote_sensing, methane, ndvi, sar, global]","Sentinel-1 SAR (storage tank levels, ship detection), Sentinel-2 optical (crop NDVI), Sentinel-5P (methane, NO2)."
NASA Earthdata Search,Satellite / Earth Observation (Free),https://search.earthdata.nasa.gov/,https://search.earthdata.nasa.gov/,search.earthdata.nasa.gov,skip_binary,"GeoTIFF, NetCDF, HDF",varies,free (registration),Global,imagery,"[satellite, remote_sensing, nasa, global]","Unified portal for MODIS, VIIRS, GPM precipitation, SMAP soil moisture, etc."
NASA Worldview,Satellite / Earth Observation (Free),https://worldview.earthdata.nasa.gov/,https://worldview.earthdata.nasa.gov/,worldview.earthdata.nasa.gov,deep,Browser,~daily,free,Global,imagery,"[satellite, visualization, nasa]",Rapid visual browse — useful for storm/fire/dust event monitoring.
USGS EarthExplorer (Landsat),Satellite / Earth Observation (Free),https://earthexplorer.usgs.gov/,https://earthexplorer.usgs.gov/,earthexplorer.usgs.gov,skip_binary,GeoTIFF,16-day revisit,free (registration),Global,imagery,"[satellite, landsat, remote_sensing, global]",Full Landsat archive back to 1972.
GHGSat Pulse,Satellite / Earth Observation (Free),https://pulse.ghgsat.com/,https://pulse.ghgsat.com/,pulse.ghgsat.com,skip_binary,"HTML, KML",daily,free (basic tier),Global methane plumes,imagery,"[satellite, methane, energy, emissions]",Identified emission events at facility level.
Carbon Mapper / Tanager-1,Satellite / Earth Observation (Free),https://carbonmapper.org/data,https://carbonmapper.org/data,carbonmapper.org,deep,"HTML, downloadable plumes",as observed,free,Global methane + CO2 super-emitters,imagery,"[satellite, methane, emissions, energy]",MethaneSAT replacement candidate; Tanager-1 launched 2024.
UNEP IMEO MARS,Satellite / Earth Observation (Free),https://methanedata.unep.org/,https://methanedata.unep.org/,methanedata.unep.org,deep,"HTML, datasets",alerts as detected,free,Global methane alerts,mixed,"[satellite, methane, emissions, alerts]",Methane Alert and Response System; notifies governments + public on major leaks.
NOAA Climate Prediction Center (CPC),Weather & Climate,https://www.cpc.ncep.noaa.gov/,https://www.cpc.ncep.noaa.gov/,cpc.ncep.noaa.gov,deep,"HTML, NetCDF, CSV",daily / weekly / monthly,free,Global,numeric,"[weather, climate, enso, drought]","ENSO ONI, MJO index, drought, degree days."
NOAA CPC Heating/Cooling Degree Days,Weather & Climate,https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/cdus/degree_days/,https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/cdus/degree_days/,cpc.ncep.noaa.gov,deep,"CSV, HTML",daily,free,US,numeric,"[weather, demand, gas, power, us]",Population-weighted HDD/CDD; key for US natgas/power demand.
ECMWF Open Data,Weather & Climate,https://www.ecmwf.int/en/forecasts/datasets/open-data,https://www.ecmwf.int/en/forecasts/datasets/open-data,ecmwf.int,skip_binary,GRIB2,4x daily,free,Global numerical weather prediction,numeric,"[weather, forecasts, global, ecmwf]",Open IFS HRES + ensemble; superior to GFS for many regions.
US Drought Monitor,Weather & Climate,https://droughtmonitor.unl.edu/,https://droughtmonitor.unl.edu/,droughtmonitor.unl.edu,skip_binary,"GeoTIFF, KML, CSV",weekly (Thu),free,US,imagery,"[weather, drought, agriculture, us]",Operational drought severity classification.
NOAA NCEI Storm Events,Weather & Climate,https://www.ncei.noaa.gov/access/,https://www.ncei.noaa.gov/access/,ncei.noaa.gov,deep,CSV,monthly updates,free,US,mixed,"[weather, storms, hurricanes, us, history]","Historical storms, hurricanes — useful for energy/ag disruption back-testing."
"World Bank Commodity Markets Outlook (""Pink Sheet"")",Macro / Commodity Index Narrative,https://www.worldbank.org/en/research/commodity-markets,https://www.worldbank.org/en/research/commodity-markets,worldbank.org,deep,"PDF, XLSX",monthly (prices) + semi-annual (outlook),free,70+ commodities,mixed,"[macro, prices, narrative, global, historical]",Pink Sheet = standardized monthly commodity prices going back decades.
IMF Primary Commodity Prices,Macro / Commodity Index Narrative,https://www.imf.org/en/Research/commodity-prices,https://www.imf.org/en/Research/commodity-prices,imf.org,deep,XLSX,monthly,free,Global,numeric,"[macro, prices, global]","Standardized index, used in IMF macro forecasts."
RBA Index of Commodity Prices,Macro / Commodity Index Narrative,https://www.rba.gov.au/statistics/frequency/commodity-prices.html,https://www.rba.gov.au/statistics/frequency/commodity-prices.html,rba.gov.au,deep,"HTML, XLSX",monthly,free,Australia-weighted commodity basket,numeric,"[macro, prices, australia]","Reflects iron ore, coal, LNG, gold weights."
Bank of Canada BCPI,Macro / Commodity Index Narrative,https://www.bankofcanada.ca/rates/price-indexes/bcpi/,https://www.bankofcanada.ca/rates/price-indexes/bcpi/,bankofcanada.ca,deep,"HTML, CSV",weekly,free,Canadian commodity basket,numeric,"[macro, prices, canada]",Heavy weight on energy + agri + metals.
St Louis FRED,Macro / Commodity Index Narrative,https://fred.stlouisfed.org/categories/32217,https://fred.stlouisfed.org/categories/32217,fred.stlouisfed.org,api_numeric,"API, CSV",varies,free,Aggregator,numeric,"[macro, prices, aggregator]",Convenient aggregator for many commodity price series.
"CFTC Commitments of Traders (COT, Disaggregated, Supplemental, TFF)","Positioning, Regulatory, Corporate Disclosure",https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,cftc.gov,deep,"CSV, XLS","weekly (Fri close, released Tue/Fri)",free,US futures,numeric,"[positioning, futures, us, weekly]",Disaggregated separates Producers/Swap Dealers/Managed Money/Other; TFF separates Dealers/Asset Managers/Hedge Funds.
ICE COTR,"Positioning, Regulatory, Corporate Disclosure",https://www.theice.com/marketdata/reports/171,https://www.theice.com/marketdata/reports/171,theice.com,deep,"PDF, CSV",weekly,free,"ICE Brent, gasoil, EU sugar/cocoa/coffee/cotton",numeric,"[positioning, futures, ice, weekly]",ICE equivalent to CFTC COT.
SEC EDGAR Full-Text Search,"Positioning, Regulatory, Corporate Disclosure",https://efts.sec.gov/LATEST/search-index?q=,https://efts.sec.gov/LATEST/search-index?q=,efts.sec.gov,deep,"HTML, JSON",real-time as filed,free,US-listed companies,text,"[corporate, disclosure, us, text_corpus, edgar]","Mine 10-K/10-Q/8-K for producer supply guidance, CapEx, hedging, customer concentration."
SEDAR+ (Canada NI 43-101),"Positioning, Regulatory, Corporate Disclosure",https://www.sedarplus.ca/,https://www.sedarplus.ca/,sedarplus.ca,deep,"PDF, HTML",as filed,free,Canadian-listed companies,text,"[corporate, mining, canada, technical_reports]","NI 43-101 technical reports — reserves, grades, production plans for mining."
ASX Announcements,"Positioning, Regulatory, Corporate Disclosure",https://www.asx.com.au/markets/trade-our-cash-market/announcements,https://www.asx.com.au/markets/trade-our-cash-market/announcements,asx.com.au,deep,"HTML, PDF",real-time,free,Australian-listed companies,text,"[corporate, mining, energy, australia, technical_reports]","JORC reports, production updates from major iron ore + LNG miners."
China NBS (National Bureau of Statistics),China-Specific (Often Under-Covered in English),https://www.stats.gov.cn/english/,https://www.stats.gov.cn/english/,stats.gov.cn,deep,"HTML, XLSX",monthly + annual,free,China economy + production,numeric,"[china, official, production]","Crude steel, refined products, base metals, power output."
GACC China Customs (English),China-Specific (Often Under-Covered in English),http://english.customs.gov.cn/,http://english.customs.gov.cn/,english.customs.gov.cn,deep,"HTML, PDF",monthly,free,China trade,numeric,"[china, trade, imports, customs]","Crude oil, LNG, copper, iron ore, soybeans imports."
SAFE State Administration of Foreign Exchange,China-Specific (Often Under-Covered in English),https://www.safe.gov.cn/en/,https://www.safe.gov.cn/en/,safe.gov.cn,deep,"HTML, XLSX",monthly + quarterly,free,China balance of payments,numeric,"[china, macro, fx, bop]","FX reserves, goods trade BoP detail."
Shanghai Futures Exchange / DCE / CZCE,China-Specific (Often Under-Covered in English),https://www.shfe.com.cn/eng/,https://www.shfe.com.cn/eng/ ; http://www.dce.com.cn/DCE/ ; http://english.czce.com.cn/,shfe.com.cn,deep,HTML,daily,free,Chinese commodity futures,numeric,"[china, futures, exchanges, inventory]","Inventory, OI, positioning for metals (SHFE), ag + energy (DCE), ag + softs (CZCE)."
Bruegel Datasets,Bonus — Hidden Gems,https://www.bruegel.org/datasets,https://www.bruegel.org/datasets,bruegel.org,deep,XLSX,irregular,free,EU energy + macro,numeric,"[energy, gas, europe, sanctions, narrative]","European natural gas tracker, sanctions tracker, EU LNG imports."
CREA (Centre for Research on Energy and Clean Air),Bonus — Hidden Gems,https://energyandcleanair.org/,https://energyandcleanair.org/,energyandcleanair.org,deep,"HTML, CSV",weekly + ad hoc,free,Russia fossil exports + Asia,mixed,"[energy, oil, gas, russia, sanctions]",Russian oil/gas export tracker post-sanctions; G7 price-cap compliance analysis.
Skytruth,Bonus — Hidden Gems,https://skytruth.org/,https://skytruth.org/,skytruth.org,deep,"HTML, GeoJSON",irregular,free,"Global oil spills, flaring, fishing",imagery,"[satellite, energy, environment]",NGO satellite analysis of environmental and energy infrastructure.
Global Fishing Watch,Bonus — Hidden Gems,https://globalfishingwatch.org/,https://globalfishingwatch.org/,globalfishingwatch.org,deep,"API, CSV",daily,free (registration),Global fishing fleet AIS,mixed,"[shipping, ais, fishing, satellite]",Useful for vessel-tracking research and shadow fleet analysis.
Lloyd's List Intelligence (free items),Bonus — Hidden Gems,https://www.lloydslist.com/,https://www.lloydslist.com/,lloydslist.com,deep,HTML,daily,mixed,Maritime,text,"[shipping, narrative, sanctions]","Shadow fleet, sanctions, casualty news."
TankerTrackers (free items + Twitter/X),Bonus — Hidden Gems,https://tankertrackers.com/,https://tankertrackers.com/,tankertrackers.com,deep,"HTML, social",real-time,mixed,Global crude tankers,mixed,"[shipping, oil, sanctions, ais]",Sanctions-evasion crude flow tracking.
CEIC China Premium (with university access),Bonus — Hidden Gems,https://www.ceicdata.com/,https://www.ceicdata.com/,ceicdata.com,excluded_paid,"API, XLSX",varies,paid (academic via libraries),"Emerging markets, China deep",numeric,"[emerging_markets, china, macro, paid]",Best paid source for granular EM data if you can access.
